word,hindi
tight,कसा हुआ
hurting,चोट पहुँचाने
ship,जहाज
subject,विषय
guest,अतिथि
mom 's,माँ का
chicken,मुर्गा
pal,दोस्त
match,मिलान
Elaine,ऐलेन
arrested,गिरफ्तार
sun,सूरज
Rachel,राहेल
Salem,सलेम
confused,अस्पष्ट
surgery,शल्य चिकित्सा
expecting,उम्मीद
deacon,उपयाजक
Colleen,कोलीन
unfortunately,दुर्भाग्य से
goddamn,धत् तेरे की
lab,प्रयोगशाला
passed,उत्तीर्ण
bottle,बोतल
beyond,आगे
whenever,जब कभी भी
pool,पूल
opinion,राय
naked,नंगा
held,आयोजित
common,सामान्य
starts,प्रारंभ होगा
jerk,झटका
secrets,रहस्य
falling,गिर रहा है
played,खेला
necessary,ज़रूरी
barely,मुश्किल से
dancing,नृत्य
health,स्वास्थ्य
tests,परीक्षण
copy,कॉपी
Keri,केरी
video,वीडियो
cousin,चचेरा
planned,की योजना बनाई
Vanessa,वैनेसा
dry,सूखा
ahem,अहम
twelve,बारह
simply,केवल
Tess,टेस
Scott,स्कॉट
skin,त्वचा
often,अक्सर
English,अंग्रेज़ी
fifteen,पंद्रह
spirit,आत्मा
speech,भाषण
names,नाम
issue,मुद्दा
orders,आदेश
nah,नः
final,अंतिम
Michelle,मिशेल
America,अमेरिका
St .,अनुसूचित जनजाति ।
results,परिणाम
code,कोड
Ned,नेड
Bonnie,बोनी
W .,डब्ल्यू।
believed,माना जाता है कि
complicated,उलझा हुआ
umm,उम
research,अनुसंधान
nowhere,कहीं भी नहीं
escape,पलायन
biggest,सबसे बड़ी
restaurant,रेस्टोरेंट
page or Page,पृष्ठ या पृष्ठ
grateful,आभारी
usual,साधारण
burn,जलाना
Chicago,शिकागो
Austin,ऑस्टिन
address,पता
within,अंदर
someplace,कहीं न कहीं
screw,पेंच
everywhere,हर जगह
train,रेलगाड़ी
film,पतली परत
regret,खेद
goodness,अच्छाई
mistakes,गलतियां
heaven or Heaven,स्वर्ग या स्वर्ग
details,विवरण
responsibility,ज़िम्मेदारी
suspect,संदिग्ध व्यक्ति
corner,कोना
hero,नायक
dumb,गूंगा
terrific,कमाल का
Peter,पीटर
mission,उद्देश्य
further,आगे
Amy,एमी
gas,गैस
whoo,वू
hole,छेद
memories,यादें
o'clock,ओ क्लॉक
Brian,ब्रायन
truck,ट्रक
following,अगले
ended,समाप्त
nobody 's,कोई नहीं
Margo,मार्गो
teeth,दाँत
ruined,तबाह
Hank,अटेरना
split,विभाजित करना
Reva,रेवा
bear,भालू
airport,एयरपोर्ट
bite,काटना
smoke,धुआँ
Stenbeck,स्टेनबेक
older,पुराने
liar,झूठा
horse,घोड़ा
Gwen,वेन
showing,दिखा
van or Van,वैन या वैन
project,परियोजना
cards,पत्ते
desperate,निराश
themselves,खुद
search,खोज
pathetic,दयनीय
damage,हानि
spoke,बोला
quickly,जल्दी से
scare,डराना
Marah,मारा
G .,जी ।
beach,समुद्र तट
Mia,एमआईए
brown or Brown,भूरा या भूरा
afford,वहन
vote,वोट
settle,निपटारा करना
gold,सोना
re or 're,re या 're
mentioned,उल्लिखित
ed or -ed,ed या -ed
due,देय
passion,जुनून
Y . or -y,Y। या -y
stayed,रुके
rule,नियम
Friday,शुक्रवार
checking,चेकिंग
tie,बाँधना
hired,काम पर रखा
upon,ऊपर
rush or Rush,भीड़
Tad,बालक
heads,सिर
concern,चिंता
blew,फूंका
natural,प्राकृतिक
Alcazar,अलकज़ार
Kramer,क्रेमर
champagne,शैम्पेन
connection,कनेक्शन
tickets,टिकट
Kate,कैट
finger,उँगलिया
happiness,ख़ुशी
form,रूप
saving,बचत
kissing,चुंबन
Martin,मार्टिन
hated,नफरत
personally,व्यक्तिगत रूप से
suggest,सुझाव देना
prepared,तैयार
build,निर्माण
leg,टांग
onto,पर
leaves,पत्तियों
downstairs,सीढ़ी के नीचे
ticket,टिकट
it'd,यह होगा
taught,पढ़ाया
loose,ढीला
holy,पवित्र
staff,कर्मचारी
sea,समुद्र
Asa,के तौर पर
planet,ग्रह
duty,कर्तव्य
convinced,कायल
throwing,फेंकने
defense,रक्षा
Harvey,हार्वे
kissed,चूमा
legs,लेग्स
Dave,डेव
according,अनुसार
loud,ऊँचा स्वर
practice,अभ्यास
Andy,ANDY
Jess,जेस
Saturday,शनिवार
Colin,कॉलिन
bright or Bright,उज्ज्वल या उज्ज्वल
Amanda,AMANDA
Fraser,फ्रेजर
F .,एफ ।
babies,बच्चों
army,सेना
where'd,जहां घ
warning,चेतावनी
miracle,चमत्कार
carrying,भार उठाते
flying,उड़ान
Caleb,कालेब
blind,अंधा
queen,रानी
ugly,कुरूप
shopping,खरीदारी
hates,नफरत करता है
someone 's,किसी का
Seth,सेठ
monster,राक्षस
sight,दृश्य
vampire,पिशाच
Rosanna,रोसन्ना
bride,दुल्हन
coat,परत
account,खाता
states,राज्य अमेरिका
clearly,स्पष्ट रूप से
celebrate,जश्न मनाना
Nicole,निकोल
brilliant,शानदार
wanting,चाहते हैं
Allison,एलीसन
add,जोड़ना
moon,चंद्रमा
Forrester,फॉरेस्टर
lips,होंठ
custody,हिरासत
center,केंद्र
screwed,स्क्रिव्ड
buying,क्रय करना
size,आकार
toast,सेंकना
thoughts,विचार
Isabella,इसाबेल्ला
student,विद्यार्थी
stories,कहानियों
however,तथापि
professional,पेशेवर
stars,सितारे
reality,वास्तविकता
Jimmy or jimmy,जिमी या जिमी
birth,जन्म
Lexie,लेक्सी
attitude,नज़रिया
advantage,फ़ायदा
grandfather,दादा
Sami,सामी
sold,बिका हुआ
opened,खुल गया
Lily,लिली
grandma,दादी
beg,निवेदन करना
Edward,एडवर्ड
changes,परिवर्तन
Diego,डिएगो
Cole,गोभी
someday,किसी दिन
grade,श्रेणी
cheese,पनीर
roof,छत
Kenny,केनी
Bobby or bobby,बॉबी या बॉबी
pizza,पिज़्ज़ा
brothers,भाई बंधु
X . or x,एक्स । या एक्स
signed,पर हस्ताक्षर किए
bird,चिड़िया
ahh,आह
marrying,शादी
powerful,ताकतवर
grown,ग्रोन
grandmother,दादी मा
fake,नकली
opening,उद्घाटन
Sally,विप्लव
Stephanie,स्टेफ़नी
expected,अपेक्षित
eventually,अंततः
must've,सफल होनी चाहिए
ideas,विचारों
exciting,रोमांचक
covered,ढका हुआ
Parker,पार्कर
de,डे
familiar,परिचित
bomb,बम
bout,बार
television,टेलीविजन
harmony or Harmony,सामंजस्य या सद्भाव
color,रंग
heavy,भारी
schedule,अनुसूची
records,अभिलेख
H .,एच ।
dollar,डॉलर
capable,काबिल
master,मालिक
numbers,नंबर
Toby,टोबी
practically,वास्तव में
including,शामिल
correct,सही
clue,संकेत
forgotten,भूल गई
immediately,तुरंत
appointment,नियुक्ति
social,सामाजिक
nature,प्रकृति
ú,U के
deserves,हकदार
west or West,पश्चिम या पश्चिम
Blake,ब्लेक
teacher,अध्यापक
threat,धमकी
Frankie,फ्रेंकी
bloody,खूनी
lonely,अकेला
Kelly,केली
ordered,आदेश दिया
shame,शर्म करो
Brittany,ब्रिटनी
local,स्थानीय
jacket,जैकेट
hook,अंकुश
destroyed,नष्ट किया हुआ
scary,डरावना
loser,परास्त
investigation,जाँच पड़ताल
above,ऊपर
Jamal,जमाल
invite,आमंत्रित करना
shooting,शूटिंग
merry,प्रमुदित
port,पत्तन
precious,कीमती
lesson,पाठ
Roy,रॉय
criminal,आपराधिक
growing,बढ़ रही है
caused,वजह
victim,पीड़ित
professor,प्रोफ़ेसर
followed,पालन ​​किया
funeral,अंतिम संस्कार
nothing 's,कुछ भी नहीं है
dean,डीन
considering,मानते हुए
burning,जलता हुआ
couch,सोफ़ा
strength,ताकत
harder,और जोर से
loss,नुकसान
view,देखना
Gia,जिया
beauty,सुंदरता
sisters,बहन की
everybody 's,हर कोई
several,अनेक
pushed,धकेल दिया
Nicholas,निकोलस
written,लिखा हुआ
somebody 's,किसी का
shock,झटका
pushing,धक्का
heat,गर्मी
chocolate,चॉकलेट
greatest,महानतम
Holden,होल्डेन
miserable,दुखी
Corinthos,कुरिन्थोस
nightmare,बुरा अनुभव
energy,ऊर्जा
brings,लाता है
Zander,ज़ैंडर
character,चरित्र
became,बन गया
famous,प्रसिद्ध
enemy,दुश्मन
crash,टकरा जाना
chances,अवसरों
sending,भेजना
recognize,पहचानना
healthy,स्वस्थ
boring,उबाऊ
feed,खिलाना
engaged,काम में लगा हुआ
Sarah,सारा
percent,प्रतिशत
headed,अध्यक्षता
Brandon,ब्रैंडन
lines,पंक्तियां
treated,इलाज
purpose,उद्देश्य
north or North,उत्तर या उत्तर
knife,चाकू
rights,अधिकार
drag,खींचना
San,सैन
fan,पंखा
badly,बुरी तरह
speed,रफ़्तार
Santa,सांता
hire,किराये पर लेना
curious,जिज्ञासु
paint,रँगना
pardon,क्षमा
Jackson,जैक्सन
built,बनाना
behavior,व्यवहार
closet,अलमारी
candy or Candy,कैंडी या कैंडी
Helena,हेलेना
warn,चेतावनी देना
gorgeous,भव्य
post,डाक
milk,दूध
survive,जीवित बचना
forced,मजबूर
daria,दारिया
victoria,विक्टोरिया
operation,संचालन
suck,चूसना
offered,की पेशकश की
hm,एचएम
ends,समाप्त होता है
dump,गंदी जगह
rent,किराया
marshall,मार्शल
remembered,याद आ गई
lieutenant,लेफ्टिनेंट
trade,व्यापार
thanksgiving,ध यवाद
rain,बारिश
revenge,बदला
physical,भौतिक
available,उपलब्ध
program,कार्यक्रम
prefer,पसंद करना
baby's,बच्चा
spare,अतिरिक्त
pray,प्रार्थना करना
disappeared,गायब हुआ
aside,अलग
statement,कथन
sometime,कभी कभी
animal,जानवर
sugar,चीनी
Ricky,रिकी
meat,मांस
fantastic,ज़बरदस्त
breathing,साँस लेने
laughing,हँसना
itself,अपने आप
tip,बख्शीश
stood,खड़ा हुआ
market,बाज़ार
Raul,राउल
affair,मामला
Stephen,स्टीफन
ours,हमारा
depends,निर्भर करता है
cook,पकाना
babe,बच्चा
main,मुख्य
woods,वुड्स
protecting,की रक्षा
jury,पंचायत
Harley,हार्ले
national,राष्ट्रीय
brave,बहादुर
storm,आंधी
large,बड़ा
prince,राजकुमार
Jack 's,जैक
interview,साक्षात्कार
Daniel,डैनियल
roger,आरे
football,फ़ुटबॉल
fingers,उंगलियों
murdered,हत्या
Stan,स्टेन
sexy,कामुक
Julia,जूलिया
explanation,स्पष्टीकरण
da,डा
process,प्रक्रिया
picking,उठा
based,आधारित
style,शैली
stone,पत्थर
pieces,टुकड़े
blah,बकवास
assistant,सहायक
stronger,मजबूत
block,अवरोध पैदा करना
aah,आह
Newman,नए आदमी
bullshit,बकवास
pie,पाई
handsome,आकर्षक
unbelievable,अविश्वसनीय
anytime,किसी भी समय
nearly,लगभग
Maureen,मॉरीन
shake,हिलाना
everyone 's,हर कोई
Oakdale,ओकडेल
cars,कारें
wherever,जहां कहीं भी
serve,सेवा करना
pulling,खींचना
points,अंक
medicine,दवा
facts,तथ्य
waited,प्रतीक्षा की
Pete,पीट
lousy,घटिया
circumstances,परिस्थितियाँ
stage,अवस्था
Lucas,लुकास
disappointed,निराश
weak,कमज़ोर
trusted,भरोसा
license,लाइसेंस
nothin,कुछ नहीं
community,समुदाय
trey,ट्रे
Jan,जनवरी
trash,कचरा
understanding,समझ
slip,फिसलना
cab,कैब
Abby,एबी
sounded,लग रहा था
awake,जागना
friendship,दोस्ती
stomach,पेट
weapon,हथियार
threatened,धमकाया
Don,अगुआ
mystery,रहस्य
Sean,शॉन
official,अधिकारी
Lee,ली
dick,लिंग
regular,नियमित
Donna,डोना
river,नदी
Malcolm,मैल्कम
Vegas,वेगास
valley,घाटी
understood,समझा
contract,अनुबंध
bud,कली
sexual,यौन
race,दौड़
basically,मूल रूप से
switch,बदलना
lake,झील
frankly,सच कहूं
issues,समस्याएँ
cheap,सस्ता
lifetime,जीवनभर
deny,अस्वीकार करना
painting,चित्रकारी
ear,कान
clock,घड़ी
Baldwin,बाल्डविन
weight,वज़न
garbage,कचरा
why'd,क्यों
tear,आंसू
ears,कान
dig,खोदना
bullet,गोली
selling,बिक्री
setting,सेटिंग
indeed,वास्तव में
gus,गस
changing,बदल रहा
singing,गायन
tiny,छोटा
particular,विशिष्ट
draw,खींचना
decent,शालीन
Susan,सुसान
super,बहुत अच्छा
spring,वसंत
santos,सैंटोस
avoid,टालना
messed,गड़बड़
united,यूनाइटेड
filled,भरा हुआ
touched,छुआ
score,अंक
people's,लोगों का
disappear,गायब
stranger,अजनबी
exact,एकदम सही
pills,गोलियाँ
kicked,निकाल दिया
harm,चोट
recently,हाल ही में
ma,एमए
snow,बर्फ
fortune,भाग्य
strike,हड़ताल
pretending,नाटक
raised,उठाया
annie,एनी
slayer,बध करनेवाला
monkey,बंदर
insurance,बीमा
fancy,कल्पना
Sydney,सिडनी
drove,गल्ला
cared,परवाह
belongs,अंतर्गत आता है
nights,नाइट्स
shape,आकार
dogs,कुत्ते
Lorelai,लोरेलाई
Jackie,जैकी
base,आधार
Maggie,मैगी
lift,उठाना
Lewis,लेविस
stock,भंडार
Sonny 's,सन्नी
fashion,पहनावा
freedom,स्वतंत्रता
timing,समय
Johnny,छोकरा
guarantee,गारंटी
chest,छाती
bridge,पुल
woke,उठा
Tabitha,तबिथा
source,स्रोत
patients,मरीजों
theory,लिखित
lisa,लिसा
camp,शिविर
original,मूल
juice,रस
burned,जला
access,पहुँच
watched,देखा
heading,शीर्षक
selfish,स्वार्थी
oil,तेल
drinks,पेय
wise,ढंग
Morgan,मॉर्गन
Ashley,एशले
failed,असफल
period,अवधि
doll,गुड़िया
committed,प्रतिबद्ध
elevator,लिफ़्ट
freeze,जमाना
noise,शोर
exist,अस्तित्व
science,विज्ञान
pair,जोड़ा
edge,किनारा
wasting,बर्बाद कर
sat,बैठा
player,खिलाड़ी
ceremony,समारोह
cartman,कार्टमैन
pig,सुअर
uncomfortable,असुविधाजनक
Ted,टेड
peg,खूंटी
guns,बंदूकें
vacation,छुट्टी
staring,घूर
files,फ़ाइलें
bike,बाइक
weather,मौसम
name 's,नाम
mostly,ज्यादातर
stress,तनाव
Kristina,क्रिस्टीना
sucks,बेकार
permission,अनुमति
arrived,पहुँचा
thrown,फेंक दिया
possibility,संभावना
faster,और तेज
example,उदाहरण
borrow,उधार
Casey,केसी
release,मुक्त करना
ate,खाया
notes,टिप्पणियाँ
joy,आनंद
hoo,हू
library,पुस्तकालय
junior,कनिष्ठ
property,संपत्ति
negative,नकारात्मक
fabulous,आश्चर्यजनक
event,आयोजन
doors,दरवाजे
screaming,चिल्ला
vision,दृष्टि
Nancy,नैंसी
member,सदस्य
bone,हड्डी
battle,युद्ध
Xander,ज़ेंडर
Giles,जाइल्स
safety,सुरक्षा
term,अवधि
devil,शैतान
what 're,क्या '
meal,खाना
fellow,साथी
asshole,गधे
apology,क्षमायाचना
anger,गुस्सा
honeymoon,सुहाग रात
wet,गीला
bail,जमानत
parking,पार्किंग
fucked,गड़बड़
non,गैर
hung,त्रिशंकु
protection,सुरक्षा
manager,प्रबंधक
fixed,तय
families,परिवार
dawn,भोर
sports,खेल
Chinese,चीनी
campaign,अभियान
map,नक्शा
wash,धोना
stolen,चुराया हुआ
sensitive,संवेदनशील
stealing,चोरी
photo,तस्वीर
chose,चुना
Russell,रसेल
lets,की सुविधा देता है
comfort,आराम
worrying,चिंता
whom,किसको
pocket,जेब
Mateo,मेटो
bleeding,खून बह रहा है
students,छात्र
shoulder,कंधा
ignore,अनदेखा करना
fourth,चौथी
neighborhood,अड़ोस-पड़ोस
FBI,एफबीआई
talent,प्रतिभा
Spaulding,SPAULDING
Carmen,कारमेन
tied,बंधा होना
garage,गैरेज
dies,मर जाता है
demons,राक्षसों
travel,यात्रा
Diana,डायना
success,सफलता
dumped,फेंक दिया
witches,चुड़ैलों
training,प्रशिक्षण
rude,अशिष्ट
crack,दरार
model,नमूना
bothering,परेशान
radar,राडार
grew,बढ़ी
willow,विलो
remain,अवशेष
soft,कोमल
meantime,इसी बीच
gimme,गिम्मी
connected,जुड़े हुए
chase,पीछा करना
kinds,प्रकार
cast,ढालना
cancer,कैंसर
Abe,आबे
v,वी
sky,आकाश
likely,संभावित
Laurence,लारेंस
fate,भाग्य
buried,दफ़नाया गया
hug,आलिंगन
brother 's,भाई बंधु
driver,चालक
concentrate,ध्यान केंद्रित करना
throat,गला
prom,प्रॉम
messages,संदेशों
east,पूर्व
unit,इकाई
intend,इरादा रखना
Hayward,हेवर्ड
Dan,सज्जन
crew,कर्मी दल
ashamed,शर्मिंदा
somethin,किसी चीज़
midnight,मध्यरात्रि
manage,प्रबंधित करना
guilt,अपराध
weapons,"हथियार, शस्त्र"
terms,शर्तें
interrupt,रुकावट डालना
guts,हिम्मत
tongue,जीभ
distance,दूरी
conference,सम्मेलन
treatment,इलाज
shoe,जूता
Kane,केन
basement,तहखाना
Alexandra,एलेक्जेंड्रा
sentence,वाक्य
purse,बटुआ
Hilda,हिल्डा
glasses,चश्मा
cabin,केबिन
universe,ब्रह्मांड
towards,की ओर
repeat,दोहराना
mirror,आईना
wound,घाव
Travers,ट्रेवर्स
Matthew,मैथ्यू
tall,लंबा
reaction,प्रतिक्रिया
odd,विषम
engagement,सगाई
therapy,चिकित्सा
letters,पत्र
emotional,भावनात्मक
runs,रन
magazine,पत्रिका
jeez,चीज़
decisions,फैसले
soup,शोरबा
daughter 's,बेटी
thrilled,रोमांचित
Buchanan,बुकानन
society,समाज
managed,कामयाब
Dixie,देग़चा
sue,मुक़दमा चलाना
stake,दांव
rex,रेक्स
chef,बावर्ची
moves,चाल
awesome,बहुत बढ़िया
genius,तेज़ दिमाग वाला
extremely,अत्यंत
entirely,पूरी तरह से
tory,अनुदारपंथी
nasty,बहुत खराब
moments,क्षणों
expensive,महँगा
counting,गिनती
shots,फुहार
kidnapped,अपहरण
square,वर्ग
Seattle,सिएटल
son 's,बेटों
London,लंडन
cleaning,सफाई
shift,बदलाव
plate,थाली
Zack,जैक
impressed,प्रभावित किया
smells,बदबू आ रही है
trapped,फंसा हुआ
male,पुरुष
tour,यात्रा
Aidan,एडन
knocked,खटखटाया
charming,आकर्षक
attractive,आकर्षक
argue,बहस
Sunday,रविवार
puts,डालता है
whip,कोड़ा
language,भाषा
heck,बिल्ली
embarrassed,शर्मिंदा
settled,बसे हुए
package,पैकेट
laid,लिटा देना
animals,जानवरों
hitting,मार
disease,बीमारी
bust,छाती
stairs,सीढ़ियाँ
Lizzie,लीसी
alarm,खतरे की घंटी
pure,शुद्ध
nail,नाखून
nerve,नस
incredibly,अविश्वसनीय रूप से
hill,पहाड़ी
walks,सैर
lane,गली
dirt,गंध
bond,गहरा संबंध
stamp,टिकट
sister 's,बहन की
becoming,बनने
terribly,बहुत
friendly,दोस्ताना
easily,आसानी से
damned,शापित
jobs,नौकरियां
suffering,कष्ट
disgusting,घिनौना
Washington,वाशिंगटन
stopping,रोक
deliver,बाँटना
riding,राइडिंग
helps,मदद करता है
federal,संघीय
disaster,आपदा
bars,सलाखों
DNA,डीएनए
crossed,पार
rate,दर
create,बनाएं
trap,जाल
claim,दावा
Christine,क्रिस्टीन
California,कैलिफोर्निया
talks,बाते
eggs,अंडे
effect,प्रभाव
chick,चूजा
turkey,टर्की
threatening,धमकी
spoken,बोला
snake,साँप
introduce,परिचय देना
rescue,बचाव
confession,स्वीकारोक्ति
embarrassing,शर्मिंदा करने वाला
bags,थैलियों
lover,प्रेम करनेवाला
impression,प्रभाव
gate,दरवाज़ा
Kim,किम
fantasy,कल्पना
year 's,साल
reputation,प्रतिष्ठा
balls,गेंदों
attacked,हमला किया
among,के बीच
lt,लेफ्टिनेंट
knowledge,ज्ञान
presents,प्रस्तुत करता है
inn,सराय
Europe,यूरोप
chat,बात करना
suffer,पीड़ित
Bryant,ब्रायंट
argument,तर्क
talkin,बात
crowd,भीड़
Montgomery,मॉन्टगोमेरी
homework,गृहकार्य
fought,लड़ा
coincidence,संयोग
cancel,रद्द करना
accepted,स्वीकृत
rip,फाड़ना
pride,गर्व
solve,हल करना
hopefully,उम्मीद है
Walter,वॉल्टर
pounds,पाउंड
pine,देवदार
mate,साथी
illegal,गैरकानूनी
generous,उदार
Tommy,मामूली सिपाही
streets,सड़कों
Matt,मैट
director,निदेशक
glen,कंदरा
con,चोर
separate,अलग
outfit,पोशाक
maid,नौकरानी
bath,नहाना
punch,पंच
Phil,फिल
mayor,महापौर
Helen,हेलेन
freaked,काफी घबराए
begging,भीख मांगना
recall,याद करना
enjoying,मजा अ
bug,कीड़ा
woman 's,महिला
prepare,तैयार करना
parts,पार्ट्स
wheel,पहिया
signal,संकेत
Nikki,निकी
direction,दिशा
defend,रक्षा करना
signs,लक्षण
painful,दर्दनाक
Caroline,कैरोलीन
yourselves,स्वयं
walls,दीवारों
rat,चूहा
Maris,मैरिस
amount,मात्रा
that 'd,वह 'डी
suspicious,संदिग्ध
hearts,दिल
flat,समतल
cooking,खाना बनाना
button,बटन
warned,आगाह
sixty,साठ
pity,दया
parties,दलों
crisis,संकट
Rae,रायबरेली
coach,प्रशिक्षक
Abbott,एबट
row,पंक्ति
baseball,बेसबॉल
yelling,चिल्ला
leads,नेतृत्व
awhile,कुछ समय
pen,कलम
confidence,आत्मविश्वास
offering,प्रसाद
falls,फॉल्स
carter,गाड़ीवान
image,छवि
farm,खेत
pleased,प्रसन्न
panic,घबड़ाहट
Monday,सोमवार
hers,उसकी
gettin,मिल रहा है
smith,लोहार
role,भूमिका
refuse,अस्वीकार करना
determined,दृढ़ निश्चय वाला
Jane,जेन
hell 's,नरक
grandpa,दादा
progress,प्रगति
Mexico,मेक्सिको
testify,गवाही देना
passing,पासिंग
military,सैन्य
choices,विकल्प
artist,कलाकार
William,विलियम
wh,क
uhh,उह
gym,जिम
cruel,निर्दयी
wings,पंख
traffic,ट्रैफ़िक
pink,गुलाबी
bodies,निकायों
mental,मानसिक
gentleman,सज्जन
coma,प्रगाढ़ बेहोशी
poison,ज़हर
cutting,काट रहा है
Proteus,रूप बदलनेवाला प्राणी
guests,अतिथियों
girl 's,लड़कियाँ
expert,विशेषज्ञ
bull,साँड़
benefit,फ़ायदा
bell,घंटी
faces,चेहरे के
cases,मामलों
Mimi,मिमी
ghost,भूत
led,नेतृत्व किया
jumped,कूद
Audrey,ऑड्रे
toilet,शौचालय
secretary,सचिव
sneak,उचक्का
q,क्यू
mix,मिक्स
Marty,मार्टी
Greta,ग्रेटा
firm,अटल
Halloween,हेलोवीन
Barry,बैरी
agreement,समझौता
privacy,गोपनीयता
dates,खजूर
anniversary,सालगिरह
smoking,धूम्रपान
reminds,याद दिलाता है
pot,मटका
created,बनाया था
Wesley,वेस्ले
twins,जुडवा
swing,झूला
successful,सफल
season,मौसम
scream,चीख
considered,माना
solid,ठोस
options,विकल्प
flash,चमक
commitment,प्रतिबद्धता
senior,वरिष्ठ
ill,बीमार
else 's,और
crush,कुचलना
ambulance,रोगी वाहन
wallet,बटुआ
Thomas,थॉमस
Logan,लोगान
discovered,की खोज की
officially,आधिकारिक तौर पर
gang,गिरोह
til,टिल
rise,उठना
reached,पहुँच गया
eleven,ग्यारह
option,विकल्प
laundry,धोने लायक कपड़े
former,पूर्व
assure,आश्वासन
stays,रहता है
skip,छोडना
hunt,शिकार करना
fail,असफल
accused,आरोपी
wide,चौड़ा
Robert,रॉबर्ट
challenge,चुनौती
Snyder,स्नाइडर
popular,लोकप्रिय
learning,सीखना
discussion,बहस
clinic,क्लिनिक
plant,पौधा
exchange,अदला-बदली
betrayed,धोखा दिया
bro,भाई
sticking,चिपका
university,विश्वविद्यालय
target,लक्ष्य
members,सदस्यों
lower,निचला
bored,ऊबा हुआ
mansion,हवेली
soda,सोडा
silver,चाँदी
sheriff,शेरिफ
suite,सुइट
handled,संभाला
busted,पर्दाफाश
senator,सीनेटर
Harold,हेरोल्ड
load,भार
happier,खुश
younger,छोटा
studying,पढ़ना
romance,रोमांस
procedure,प्रक्रिया
ocean,महासागर
section,अनुभाग
Fred,फ्रेड
winter,सर्दी
sec,सेकंड
commit,प्रतिबद्ध
bones,बोन्स
assignment,कार्यभार
suicide,आत्मघाती
spread,फैलाना
Quinn,क्विन
minds,मन
fishing,मछली पकड़ने
swim,तैरना
ending,समापन
bat,बल्ला
yell,चिल्लाना
llanview,llanview
league,लीग
chasing,का पीछा करते हुए
seats,सीटें
proper,उचित
holiday,छुट्टी
command,आज्ञा
believes,का मानना ​​​​है कि
humor,हास्य
hopes,आशाएँ
fifth,पांचवां
winning,जीत
solution,समाधान
leader,नेता
yellow,पीला
Theresa 's,थेरेसा
sharp,तीखा
sale,बिक्री
Randy,भिखारिन
lawyers,वकील
giant,बहुत बड़ा
nor,और न
material,सामग्री
latest,नवीनतम
ash,राख
highly,अत्यधिक
escaped,भाग निकले
audience,श्रोता
winner,विजेता
parent,माता-पिता
burns,बर्न्स
tricks,चाल
insist,आग्रह करना
dropping,छोड़ने
cheer,खुश करना
medication,दवाई
higher,उच्च
flesh,माँस
district,ज़िला
wood,लकड़ी
routine,दिनचर्या
Zelda,ज़ेल्डा
cookies,कुकीज़
century,शतक
shared,साझा
sandwich,सैंडविच
psycho,पागल
handed,सौंप दिया
FALSE,असत्य
beating,पिटाई
appear,के जैसा लगना
adult,वयस्क
warrant,वारंट
spike,नोकदार चीज़
garden,बगीचा
family 's,परिवार
awfully,भय से
odds,कठिनाइयाँ
article,लेख
treating,इलाज
thin,पतला
suggesting,सुझाना
Palmer,बाज़ीगर
fever,बुखार
female,महिला
sweat,पसीना
silent,चुपचाप
specific,विशिष्ट
clever,चतुर
sweater,स्वेटर
request,अनुरोध
prize,पुरस्कार
mall,मॉल
tries,की कोशिश करता है
mile,मील
manning,मैनिंग
fully,पूरी तरह
estate,जागीर
diamond,डायमंड
union,मिलन
sharing,बंटवारे
Jamie,जेमी
assuming,मान लिया जाये
judgment,प्रलय
goodnight,शुभ रात्रि
divorced,तलाकशुदा
quality,गुणवत्ता
despite,इसके बावजूद
Colby,कोल्बी
surely,निश्चित रूप से
steps,कदम
jet,जेट
confess,अपराध स्वीकार करना
Bart,बार्ट
mountain,पर्वत
math,गणित
listened,सुना
comin,आ
answered,उत्तर
vulnerable,असुरक्षित
Boston,बोस्टान
bless,आशीर्वाद
dreaming,सपना देखना
rooms,कमरा
Claire,क्लेयर
chip,टुकड़ा
zero,शून्य
potential,संभावना
pissed,नाराज
Nate,नैट
kills,मारता
grant,अनुदान
wolf,भेड़िया
tears,आँसू
knees,घुटनों
chill,सर्द
Carly 's,कार्ली
blonde,गोरा
brains,दिमाग
agency,एजेंसी
Harvard,हार्वर्ड
degree,डिग्री
unusual,असामान्य
wife 's,पत्नी
joint,संयुक्त
rob,लूटना
packed,पैक
Mel,मेल
dreamed,सपना देखा
cure,इलाज
covering,कवर
newspaper,अखबार
lookin,यहां देखो
coast,तट
grave,कब्र
egg,अंडा
direct,प्रत्यक्ष
cheating,बेईमानी करना
breaks,टूट जाता है
quarter,तिमाही
orange,नारंगी
mixed,मिश्रित
locker,लॉकर
husband 's,पति
gifts,उपहार
brand,ब्रांड
awkward,अजीब
toy,खिलौने
Thursday,गुरुवार
rare,दुर्लभ
policy,नीति
pilar,पिलर
kid 's,बच्चे
joking,मजाक कर रहा है
competition,प्रतियोगिता
classes,कक्षाओं
assumed,ग्रहण
reasonable,उचित
dozen,दर्जन
curse,अभिशाप
Quartermaine,क्वार्टरमाइन
millions,लाखों
dessert,मिठाई
rolling,रोलिंग
detail,विवरण
alien,विदेशी
served,सेवित
delicious,स्वादिष्ट
closing,समापन
vampires,पिशाच
released,जारी किया
Mackenzie,मैकेंज़ी
ancient,प्राचीन
wore,पहनी थी
value,कीमत
tail,पूँछ
site,साइट
secure,सुरक्षित
salad,सलाद
murderer,मार डालनेवाला
